Mon Jul  1 15:37:16 2024    output.prof

         31094020 function calls (30269907 primitive calls) in 394.255 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    77/26    0.001    0.000    2.321    0.089 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:250(lower_function_body)
   181/67    0.004    0.000    2.321    0.035 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:275(lower_block)
2885/1591    0.008    0.000    2.312    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:457(lower_inst)
       78    0.001    0.000    2.229    0.029 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:739(finalize)
  531/343    0.000    0.000    2.172    0.006 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:565(_ensure_finalized)
 1339/751    0.002    0.000    2.122    0.003 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:665(lower_assign)
   322977    2.107    0.000    2.107    0.000 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:243(calculate_shadowing)
  680/399    0.012    0.000    2.098    0.005 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:1185(lower_expr)
       34    0.000    0.000    1.919    0.056 /opt/homebrew/lib/python3.11/site-packages/numba/core/cpu.py:225(get_executable)
       34    0.000    0.000    1.917    0.056 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:975(get_pointer_to_function)
  144/130    0.000    0.000    1.757    0.014 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:844(compile_subroutine)
    43/39    0.000    0.000    1.755    0.045 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:806(_compile_subroutine_no_cache)
    43/39    0.000    0.000    1.519    0.039 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler.py:837(compile_internal)
  436/389    0.004    0.000    1.394    0.004 /opt/homebrew/lib/python3.11/site-packages/pyvista/core/utilities/misc.py:187(try_callback)
  431/300    0.000    0.000    1.369    0.005 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:1186(__call__)
  431/300    0.001    0.000    1.368    0.005 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:1215(wrapper)
  115/101    0.000    0.000    1.318    0.013 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:873(compile_internal)
   786628    0.795    0.000    1.315    0.000 /opt/homebrew/lib/python3.11/site-packages/numpy/linalg/linalg.py:2383(norm)
  175/107    0.001    0.000    1.246    0.012 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:915(lower_call)
  164/103    0.001    0.000    1.244    0.012 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:1157(_lower_call_normal)
