Wed Jul 10 09:08:30 2024    output.prof

         68812773 function calls (66496251 primitive calls) in 107.240 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  790/252    0.003    0.000    5.171    0.021 /opt/homebrew/lib/python3.11/site-packages/numba/core/typeinfer.py:575(__call__)
      538    0.031    0.000    4.799    0.009 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/plotter.py:2933(add_mesh)
        1    0.001    0.001    4.793    4.793 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:221(eliminate_obstructed_facets)
1866/1016    0.020    0.000    4.718    0.005 /opt/homebrew/lib/python3.11/site-packages/numba/core/types/functions.py:281(get_call_type)
8939/4795    0.007    0.000    4.627    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:348(apply)
2614/1274    0.003    0.000    4.547    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:606(generic)
2614/1274    0.005    0.000    4.537    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:697(_get_impl)
  243/122    0.001    0.000    4.483    0.037 /opt/homebrew/lib/python3.11/site-packages/numba/core/typing/templates.py:748(_build_impl)
    30600    0.200    0.000    4.481    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/text.py:734(draw)
   132/58    0.001    0.000    4.404    0.076 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:182(lower)
        1    0.014    0.014    4.185    4.185 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:519(calculate_initial_temperatures)
        1    0.000    0.000    4.168    4.168 /opt/homebrew/lib/python3.11/site-packages/joblib/parallel.py:1902(__call__)
    58406    3.615    0.000    4.142    0.000 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/ffi.py:190(__call__)
       64    0.000    0.000    4.139    0.065 /opt/homebrew/lib/python3.11/site-packages/joblib/parallel.py:1638(_get_outputs)
       39    0.003    0.000    3.982    0.102 /opt/homebrew/lib/python3.11/site-packages/joblib/parallel.py:1746(_retrieve)
      357    3.978    0.011    3.978    0.011 {built-in method time.sleep}
   132/58    0.000    0.000    3.927    0.068 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:218(lower_normal_function)
   132/58    0.001    0.000    3.904    0.067 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:235(lower_function_body)
  402/191    0.008    0.000    3.902    0.020 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:260(lower_block)
5727/3335    0.015    0.000    3.882    0.001 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:442(lower_inst)
    62766    0.738    0.000    3.867    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/text.py:358(_get_layout)
     7506    0.161    0.000    3.779    0.001 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:1270(_update_ticks)
      133    0.001    0.000    3.769    0.028 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:739(finalize)
  870/556    0.000    0.000    3.698    0.007 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:565(_ensure_finalized)
    11424    0.031    0.000    3.691    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:287(draw)
2613/1546    0.006    0.000    3.601    0.002 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:650(lower_assign)
 1286/794    0.004    0.000    3.563    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:1170(lower_expr)
      834    0.006    0.000    3.430    0.004 /opt/homebrew/lib/python3.11/site-packages/matplotlib/legend.py:751(draw)
       71    0.001    0.000    3.325    0.047 /opt/homebrew/lib/python3.11/site-packages/numba/core/cpu.py:225(get_executable)
       71    0.000    0.000    3.320    0.047 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:975(get_pointer_to_function)
    39858    0.170    0.000    3.313    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/text.py:915(get_window_extent)
      834    0.020    0.000    3.215    0.004 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axes/_base.py:2943(_update_title_position)
     1668    0.010    0.000    3.211    0.002 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:2599(_update_label_position)
     5004    0.005    0.000    3.140    0.001 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:1311(_get_ticklabel_bboxes)
     5004    0.025    0.000    3.122    0.001 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:1315(<listcomp>)
      541    0.001    0.000    3.103    0.006 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/plotter.py:1380(add_actor)
      541    0.006    0.000    3.102    0.006 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/renderer.py:789(add_actor)
      834    0.010    0.000    2.954    0.004 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:1320(get_tightbbox)
  205/183    0.001    0.000    2.896    0.016 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:847(compile_subroutine)
    61/55    0.001    0.000    2.893    0.053 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:809(_compile_subroutine_no_cache)
     2502    0.009    0.000    2.844    0.001 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:2143(_get_tick_boxes_siblings)
    61/55    0.000    0.000    2.539    0.046 /opt/homebrew/lib/python3.11/site-packages/numba/core/compiler.py:811(compile_internal)
 8244/834    0.010    0.000    2.494    0.003 /opt/homebrew/lib/python3.11/site-packages/matplotlib/artist.py:31(draw_wrapper)
 4416/834    0.017    0.000    2.493    0.003 /opt/homebrew/lib/python3.11/site-packages/matplotlib/offsetbox.py:406(draw)
  842/563    0.001    0.000    2.442    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:1189(__call__)
  842/563    0.001    0.000    2.441    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:1218(wrapper)
  166/146    0.000    0.000    2.268    0.016 /opt/homebrew/lib/python3.11/site-packages/numba/core/base.py:876(compile_internal)
    15840    0.064    0.000    2.253    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:187(draw_text)
      530    0.002    0.000    2.080    0.004 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/plotter.py:1582(remove_actor)
      532    0.012    0.000    2.078    0.004 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/renderer.py:2579(remove_actor)
  366/257    0.001    0.000    2.069    0.008 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:900(lower_call)
  338/241    0.002    0.000    2.064    0.009 /opt/homebrew/lib/python3.11/site-packages/numba/core/lowering.py:1142(_lower_call_normal)
       62    2.020    0.033    2.024    0.033 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:365(calculate_view_factors)
      133    0.001    0.000    1.923    0.014 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:781(_finalize_final_module)
12072/6330    0.078    0.000    1.693    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/offsetbox.py:505(_get_bbox_and_child_offsets)
      133    0.001    0.000    1.665    0.013 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:667(_optimize_final_module)
      266    0.000    0.000    1.663    0.006 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/passmanagers.py:681(run)
      133    0.000    0.000    1.649    0.012 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:996(_finalize_specific)
        1    0.057    0.057    1.581    1.581 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:464(calculate_insolation)
      217    0.000    0.000    1.532    0.007 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:1058(wrapper)
      133    0.000    0.000    1.530    0.012 /opt/homebrew/lib/python3.11/site-packages/llvmlite/binding/executionengine.py:94(finalize_object)
    38100    0.195    0.000    1.510    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/lines.py:738(draw)
12072/6330    0.010    0.000    1.503    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/offsetbox.py:511(<listcomp>)
   125532    0.111    0.000    1.499    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/text.py:65(_get_text_metrics_with_cache)
    15012    0.017    0.000    1.485    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/ticker.py:2140(__call__)
     2502    0.025    0.000    1.473    0.001 /opt/homebrew/lib/python3.11/site-packages/matplotlib/spines.py:142(get_window_extent)
        5    0.000    0.000    1.454    0.291 /opt/homebrew/lib/python3.11/site-packages/numba/np/arraymath.py:306(array_sum_axis)
5004/3336    0.032    0.000    1.449    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/offsetbox.py:473(_get_bbox_and_child_offsets)
      834    0.005    0.000    1.409    0.002 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:2358(_update_label_position)
12660/4416    0.011    0.000    1.402    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/offsetbox.py:364(get_bbox)
    15012    0.025    0.000    1.357    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/ticker.py:2144(tick_values)
5004/3336    0.004    0.000    1.352    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/offsetbox.py:484(<listcomp>)
    32389    0.051    0.000    1.308    0.000 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/colors.py:735(__init__)
     1618    0.030    0.000    1.271    0.001 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/themes.py:1769(__init__)
    15012    0.191    0.000    1.230    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/ticker.py:2079(_raw_ticks)
468764/389714    0.097    0.000    1.193    0.000 {built-in method builtins.next}
     9570    0.042    0.000    1.142    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/offsetbox.py:794(get_bbox)
       39    0.001    0.000    1.129    0.029 /opt/homebrew/lib/python3.11/site-packages/numba/np/ufunc/array_exprs.py:354(_lower_array_expr)
    25437    1.076    0.000    1.076    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     7506    0.048    0.000    1.069    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:1497(get_minorticklocs)
     1076    0.013    0.000    1.055    0.001 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/_property.py:161(__init__)
   221840    0.310    0.000    1.014    0.000 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/colors.py:816(convert_color_channel)
499307/433772    0.140    0.000    0.975    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/_api/deprecation.py:289(wrapper)
      208    0.001    0.000    0.934    0.004 /opt/homebrew/lib/python3.11/site-packages/numba/core/codegen.py:723(add_ir_module)
   452855    0.617    0.000    0.922    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/font_manager.py:638(__hash__)
     3754    0.004    0.000    0.885    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:57(pformat)
     3754    0.004    0.000    0.878    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:156(pformat)
87121/3754    0.058    0.000    0.870    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:168(_format)
        1    0.084    0.084    0.869    0.869 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/thermophysical_body_model.py:641(thermophysical_body_model)
     5838    0.014    0.000    0.821    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/patches.py:579(draw)
    22667    0.017    0.000    0.809    0.000 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/colors.py:885(_from_str)
    22667    0.024    0.000    0.789    0.000 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/colors.py:876(_from_hex)
      834    0.001    0.000    0.785    0.001 /opt/homebrew/lib/python3.11/site-packages/matplotlib/offsetbox.py:395(get_window_extent)
     7506    0.008    0.000    0.784    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:1493(get_majorticklocs)
     9666    0.010    0.000    0.739    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:95(draw_path)
     9666    0.704    0.000    0.722    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     5250    0.006    0.000    0.719    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/offsetbox.py:54(get_offset)
     5250    0.004    0.000    0.699    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/offsetbox.py:297(get_offset)
   358366    0.309    0.000    0.699    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/copy.py:66(copy)
    25437    0.038    0.000    0.699    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/backends/backend_agg.py:250(_prepare_font)
881125/543722    0.115    0.000    0.693    0.000 {built-in method builtins.hash}
   150942    0.046    0.000    0.692    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/font_manager.py:649(__eq__)
     1668    0.007    0.000    0.691    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/legend.py:734(_findoffset)
     1668    0.015    0.000    0.684    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/legend.py:1160(_find_best_position)
        4    0.001    0.000    0.672    0.168 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/picking.py:35(_launch_pick_event)
        4    0.002    0.000    0.671    0.168 {method 'Pick' of 'vtkmodules.vtkRenderingCore.vtkCellPicker' objects}
        4    0.001    0.000    0.669    0.167 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/picking.py:483(_end_pick_event)
     12/4    0.000    0.000    0.663    0.166 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/picking.py:45(_poked_context_callback)
        4    0.000    0.000    0.662    0.166 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/picking.py:866(_end_pick_event)
        4    0.000    0.000    0.661    0.165 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/picking.py:231(__call__)
    30228    0.037    0.000    0.656    0.000 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/colors.py:853(_from_rgba)
    15012    0.015    0.000    0.654    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/ticker.py:213(format_ticks)
     5838    0.039    0.000    0.650    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/patches.py:530(_draw_paths_with_artist_properties)
2075291/2074442    0.277    0.000    0.648    0.000 {built-in method builtins.getattr}
    65722    0.078    0.000    0.644    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/transforms.py:1472(transform)
184397/162106    0.052    0.000    0.642    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/contextlib.py:132(__enter__)
   151072    0.046    0.000    0.638    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/font_manager.py:899(copy)
        4    0.000    0.000    0.637    0.159 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/picking.py:1502(_end_handler)
        4    0.000    0.000    0.636    0.159 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/animate_model.py:253(<lambda>)
        4    0.000    0.000    0.636    0.159 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/animate_model.py:181(on_pick)
        4    0.002    0.001    0.634    0.159 /Users/duncan/Desktop/myenv/DPhil/Comet_Nucleus_Model/comet_nucleus_model/animate_model.py:88(plot_picked_cell_over_time)
   151140    0.031    0.000    0.615    0.000 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/colors.py:862(<genexpr>)
   107062    0.049    0.000    0.612    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/transforms.py:804(from_bounds)
   108859    0.093    0.000    0.585    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/transforms.py:813(from_extents)
731291/542104    0.167    0.000    0.581    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/artist.py:317(stale)
     6672    0.024    0.000    0.572    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/transforms.py:651(union)
    31680    0.025    0.000    0.559    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/artist.py:1229(_cm_set)
     3618    0.005    0.000    0.558    0.000 /opt/homebrew/Cellar/python@3.11/3.11.6/Frameworks/Python.framework/Versions/3.11/lib/python3.11/pprint.py:206(_pprint_dict)
      538    0.005    0.000    0.552    0.001 /opt/homebrew/lib/python3.11/site-packages/pyvista/plotting/actor.py:88(__init__)
    48539    0.067    0.000    0.552    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:508(update_position)
     1214    0.008    0.000    0.549    0.000 /opt/homebrew/lib/python3.11/site-packages/numba/core/postproc.py:71(run)
   629055    0.547    0.000    0.547    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    10008    0.044    0.000    0.547    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/axis.py:2757(get_tick_space)
     1914    0.002    0.000    0.543    0.000 /opt/homebrew/lib/python3.11/site-packages/matplotlib/offsetbox.py:817(draw)
