Rotation angle (rad), Temperature (K)
2.564052415812433372e-01,5.326907806752062413e+01
2.576621300203670861e-01,5.326512353149362866e+01
2.589190184594908350e-01,5.326117172678888778e+01
2.601759068986145840e-01,5.325722264996902311e+01
2.614327953377383329e-01,5.325327629760302983e+01
2.626896837768620818e-01,5.324933266626619854e+01
2.639465722159858307e-01,5.324539175254014367e+01
2.652034606551095797e-01,5.324145355301277505e+01
2.664603490942333286e-01,5.323751806427827660e+01
2.677172375333570220e-01,5.323358528293709924e+01
2.689741259724807709e-01,5.322965520559593955e+01
2.702310144116045199e-01,5.322572782886773268e+01
2.714879028507282688e-01,5.322180314937162393e+01
2.727447912898520177e-01,5.321788116373296162e+01
2.740016797289757666e-01,5.321396186858328292e+01
2.752585681680995155e-01,5.321004526056029960e+01
2.765154566072232090e-01,5.320613133630788383e+01
2.777723450463469579e-01,5.320222009247603978e+01
2.790292334854707068e-01,5.319831152572090360e+01
2.802861219245944557e-01,5.319440563270472921e+01
2.815430103637182047e-01,5.319050241009585989e+01
2.827998988028419536e-01,5.318660185456872114e+01
2.840567872419657025e-01,5.318270396280380652e+01
2.853136756810894514e-01,5.317880873148766341e+01
2.865705641202132004e-01,5.317491615731289301e+01
2.878274525593368938e-01,5.317102623697809349e+01
2.890843409984606427e-01,5.316713896718788135e+01
2.903412294375843916e-01,5.316325434465287003e+01
2.915981178767081405e-01,5.315937236608965577e+01
2.928550063158318895e-01,5.315549302822080335e+01
2.941118947549556384e-01,5.315161632777481060e+01
2.953687831940793873e-01,5.314774226148612968e+01
2.966256716332030807e-01,5.314387082609511737e+01
2.978825600723268296e-01,5.314000201834805637e+01
2.991394485114505786e-01,5.313613583499711268e+01
3.003963369505743275e-01,5.313227227280034271e+01
3.016532253896980764e-01,5.312841132852164350e+01
3.029101138288218253e-01,5.312455299893078831e+01
3.041670022679455743e-01,5.312069728080337683e+01
3.054238907070693232e-01,5.311684417092083521e+01
3.066807791461930721e-01,5.311299366607038763e+01
3.079376675853167655e-01,5.310914576304507051e+01
3.091945560244405145e-01,5.310530045864368276e+01
3.104514444635642634e-01,5.310145774967080001e+01
3.117083329026880123e-01,5.309761763293674619e+01
3.129652213418117612e-01,5.309378010525760061e+01
3.142221097809355101e-01,5.308994516345514114e+01
3.154789982200592591e-01,5.308611280435687974e+01
3.167358866591829525e-01,5.308228302479601979e+01
3.179927750983067014e-01,5.307845582161144904e+01
3.192496635374304503e-01,5.307463119164772536e+01
3.205065519765541993e-01,5.307080913175506254e+01
3.217634404156779482e-01,5.306698963878931607e+01
3.230203288548016971e-01,5.306317270961198318e+01
3.242772172939254460e-01,5.305935834109017435e+01
3.255341057330491950e-01,5.305554653009659205e+01
3.267909941721729439e-01,5.305173727350953783e+01
3.280478826112966373e-01,5.304793056821289099e+01
3.293047710504203862e-01,5.304412641109609439e+01
3.305616594895441351e-01,5.304032479905413311e+01
3.318185479286678841e-01,5.303652572898754869e+01
3.330754363677916330e-01,5.303272919780238226e+01
3.343323248069153819e-01,5.302893520241021008e+01
3.355892132460391308e-01,5.302514373972808670e+01
3.368461016851628242e-01,5.302135480667855916e+01
3.381029901242865732e-01,5.301756840018965278e+01
3.393598785634103221e-01,5.301378451719484275e+01
3.406167670025340710e-01,5.301000315463304702e+01
3.418736554416578199e-01,5.300622430944863339e+01
3.431305438807815689e-01,5.300244797859137691e+01
3.443874323199053178e-01,5.299867415901645984e+01
3.456443207590290667e-01,5.299490284768447168e+01
3.469012091981528156e-01,5.299113404156135942e+01
3.481580976372765091e-01,5.298736773761846308e+01
3.494149860764002580e-01,5.298360393283246594e+01
3.506718745155240069e-01,5.297984262418540879e+01
3.519287629546477558e-01,5.297608380866464728e+01
3.531856513937715047e-01,5.297232748326286611e+01
3.544425398328952537e-01,5.296857364497805776e+01
3.556994282720190026e-01,5.296482229081350113e+01
3.569563167111426960e-01,5.296107341777776867e+01
3.582132051502664449e-01,5.295732702288468374e+01
3.594700935893901939e-01,5.295358310315334904e+01
3.607269820285139428e-01,5.294984165560809686e+01
3.619838704676376917e-01,5.294610267727848907e+01
3.632407589067614406e-01,5.294236616519931715e+01
3.644976473458851896e-01,5.293863211641057376e+01
3.657545357850089385e-01,5.293490052795745271e+01
3.670114242241326874e-01,5.293117139689032769e+01
3.682683126632563808e-01,5.292744472026475222e+01
3.695252011023801297e-01,5.292372049514142418e+01
3.707820895415038787e-01,5.291999871858619287e+01
3.720389779806276276e-01,5.291627938767005190e+01
3.732958664197513765e-01,5.291256249946910373e+01
3.745527548588751254e-01,5.290884805106458799e+01
3.758096432979988744e-01,5.290513603954281052e+01
3.770665317371225678e-01,5.290142646199518595e+01
3.783234201762463167e-01,5.289771931551820217e+01
3.795803086153700656e-01,5.289401459721341325e+01
3.808371970544938145e-01,5.289031230418741814e+01
3.820940854936175635e-01,5.288661243355185348e+01
3.833509739327413124e-01,5.288291498242340083e+01
3.846078623718650613e-01,5.287921994792374392e+01
3.858647508109888102e-01,5.287552732717958293e+01
3.871216392501125592e-01,5.287183711732259894e+01
3.883785276892362526e-01,5.286814931548946106e+01
3.896354161283600015e-01,5.286446391882181217e+01
3.908923045674837504e-01,5.286078092446626187e+01
3.921491930066074993e-01,5.285710032957435089e+01
3.934060814457312483e-01,5.285342213130257250e+01
3.946629698848549972e-01,5.284974632681233686e+01
3.959198583239787461e-01,5.284607291326996403e+01
3.971767467631024395e-01,5.284240188784668391e+01
3.984336352022261885e-01,5.283873324771862201e+01
3.996905236413499374e-01,5.283506699006677110e+01
4.009474120804736863e-01,5.283140311207700535e+01
4.022043005195974352e-01,5.282774161094004484e+01
4.034611889587211842e-01,5.282408248385146976e+01
4.047180773978449331e-01,5.282042572801168490e+01
4.059749658369686820e-01,5.281677134062591961e+01
4.072318542760924309e-01,5.281311931890422073e+01
4.084887427152161243e-01,5.280946966006143839e+01
4.097456311543398733e-01,5.280582236131721174e+01
4.110025195934636222e-01,5.280217741989595481e+01
4.122594080325873711e-01,5.279853483302685646e+01
4.135162964717111200e-01,5.279489459794387329e+01
4.147731849108348690e-01,5.279125671188568703e+01
4.160300733499586179e-01,5.278762117209574001e+01
4.172869617890823113e-01,5.278398797582218549e+01
4.185438502282060602e-01,5.278035712031789473e+01
4.198007386673298091e-01,5.277672860284044987e+01
4.210576271064535581e-01,5.277310242065211554e+01
4.223145155455773070e-01,5.276947857101985306e+01
4.235714039847010559e-01,5.276585705121527781e+01
4.248282924238248048e-01,5.276223785851468762e+01
4.260851808629485538e-01,5.275862099019901308e+01
4.273420693020723027e-01,5.275500644355383884e+01
4.285989577411959961e-01,5.275139421586937516e+01
4.298558461803197450e-01,5.274778430444045796e+01
4.311127346194434939e-01,5.274417670656652035e+01
4.323696230585672429e-01,5.274057141955159977e+01
4.336265114976909918e-01,5.273696844070432377e+01
4.348833999368147407e-01,5.273336776733788867e+01
4.361402883759384896e-01,5.272976939677007380e+01
4.373971768150621831e-01,5.272617332632319886e+01
4.386540652541859320e-01,5.272257955332415236e+01
4.399109536933096809e-01,5.271898807510433471e+01
4.411678421324334298e-01,5.271539888899967963e+01
4.424247305715571787e-01,5.271181199235065407e+01
4.436816190106809277e-01,5.270822738250221562e+01
4.449385074498046766e-01,5.270464505680381961e+01
4.461953958889284255e-01,5.270106501260940490e+01
4.474522843280521744e-01,5.269748724727739386e+01
4.487091727671758679e-01,5.269391175817067108e+01
4.499660612062996168e-01,5.269033854265656913e+01
4.512229496454233657e-01,5.268676759810687571e+01
4.524798380845471146e-01,5.268319892189781939e+01
4.537367265236708636e-01,5.267963251141003411e+01
4.549936149627946125e-01,5.267606836402859471e+01
4.562505034019183614e-01,5.267250647714296008e+01
4.575073918410420548e-01,5.266894684814699445e+01
4.587642802801658037e-01,5.266538947443895324e+01
4.600211687192895527e-01,5.266183435342145458e+01
4.612780571584133016e-01,5.265828148250149354e+01
4.625349455975370505e-01,5.265473085909042794e+01
4.637918340366607994e-01,5.265118248060394990e+01
4.650487224757845484e-01,5.264763634446208584e+01
4.663056109149082973e-01,5.264409244808920363e+01
4.675624993540320462e-01,5.264055078891399120e+01
4.688193877931557396e-01,5.263701136436942818e+01
4.700762762322794885e-01,5.263347417189280009e+01
4.713331646714032375e-01,5.262993920892569122e+01
4.725900531105269864e-01,5.262640647291394913e+01
4.738469415496507353e-01,5.262287596130770595e+01
4.751038299887744842e-01,5.261934767156134996e+01
4.763607184278982332e-01,5.261582160113351136e+01
4.776176068670219266e-01,5.261229774748708365e+01
4.788744953061456755e-01,5.260877610808917382e+01
4.801313837452694244e-01,5.260525668041112368e+01
4.813882721843931733e-01,5.260173946192847438e+01
4.826451606235169223e-01,5.259822445012098768e+01
4.839020490626406712e-01,5.259471164247260333e+01
4.851589375017644201e-01,5.259120103647146749e+01
4.864158259408881690e-01,5.258769262960988300e+01
4.876727143800119180e-01,5.258418641938433069e+01
4.889296028191356114e-01,5.258068240329545517e+01
4.901864912582593603e-01,5.257718057884803642e+01
4.914433796973831092e-01,5.257368094355100396e+01
4.927002681365068582e-01,5.257018349491742271e+01
4.939571565756306071e-01,5.256668823046445738e+01
4.952140450147543560e-01,5.256319514771340806e+01
4.964709334538781049e-01,5.255970424418966047e+01
4.977278218930017983e-01,5.255621551742271436e+01
4.989847103321255473e-01,5.255272896494614088e+01
5.002415987712492962e-01,5.254924458429759682e+01
5.014984872103730451e-01,5.254576237301878905e+01
5.027553756494967940e-01,5.254228232865550297e+01
5.040122640886205430e-01,5.253880444875757405e+01
5.052691525277442919e-01,5.253532873087885946e+01
5.065260409668680408e-01,5.253185517257725934e+01
5.077829294059917897e-01,5.252838377141469550e+01
5.090398178451155387e-01,5.252491452495711144e+01
5.102967062842392876e-01,5.252144743077445099e+01
5.115535947233630365e-01,5.251798248644065126e+01
5.128104831624866744e-01,5.251451968953364258e+01
5.140673716016104233e-01,5.251105903763533433e+01
5.153242600407341723e-01,5.250760052833160074e+01
5.165811484798579212e-01,5.250414415921229505e+01
5.178380369189816701e-01,5.250068992787119981e+01
5.190949253581054190e-01,5.249723783190605531e+01
5.203518137972291679e-01,5.249378786891854531e+01
5.216087022363529169e-01,5.249034003651426161e+01
5.228655906754766658e-01,5.248689433230273238e+01
5.241224791146004147e-01,5.248345075389740089e+01
5.253793675537241636e-01,5.248000929891558997e+01
5.266362559928479126e-01,5.247656996497853754e+01
5.278931444319716615e-01,5.247313274971134689e+01
5.291500328710954104e-01,5.246969765074302217e+01
5.304069213102191593e-01,5.246626466570641867e+01
5.316638097493429083e-01,5.246283379223824994e+01
5.329206981884666572e-01,5.245940502797909488e+01
5.341775866275902951e-01,5.245597837057336932e+01
5.354344750667140440e-01,5.245255381766931890e+01
5.366913635058377929e-01,5.244913136691901911e+01
5.379482519449615419e-01,5.244571101597837526e+01
5.392051403840852908e-01,5.244229276250708693e+01
5.404620288232090397e-01,5.243887660416866225e+01
5.417189172623327886e-01,5.243546253863039652e+01
5.429758057014565376e-01,5.243205056356337934e+01
5.442326941405802865e-01,5.242864067664248040e+01
5.454895825797040354e-01,5.242523287554633526e+01
5.467464710188277843e-01,5.242182715795733827e+01
5.480033594579515333e-01,5.241842352156163543e+01
5.492602478970752822e-01,5.241502196404911729e+01
5.505171363361990311e-01,5.241162248311342609e+01
5.517740247753227800e-01,5.240822507645191308e+01
5.530309132144464179e-01,5.240482974176566699e+01
5.542878016535701668e-01,5.240143647675947847e+01
5.555446900926939158e-01,5.239804527914184717e+01
5.568015785318176647e-01,5.239465614662497472e+01
5.580584669709414136e-01,5.239126907692473623e+01
5.593153554100651625e-01,5.238788406776070872e+01
5.605722438491889115e-01,5.238450111685612853e+01
5.618291322883126604e-01,5.238112022193790551e+01
5.630860207274364093e-01,5.237774138073660168e+01
5.643429091665601582e-01,5.237436459098643127e+01
5.655997976056839072e-01,5.237098985042524646e+01
5.668566860448076561e-01,5.236761715679455165e+01
5.681135744839314050e-01,5.236424650783946078e+01
5.693704629230551539e-01,5.236087790130870445e+01
5.706273513621789029e-01,5.235751133495463705e+01
5.718842398013026518e-01,5.235414680653320829e+01
5.731411282404264007e-01,5.235078431380397035e+01
5.743980166795500386e-01,5.234742385453005653e+01
5.756549051186737875e-01,5.234406542647818128e+01
5.769117935577975365e-01,5.234070902741864018e+01
5.781686819969212854e-01,5.233735465512528151e+01
5.794255704360450343e-01,5.233400230737552761e+01
5.806824588751687832e-01,5.233065198195033929e+01
5.819393473142925322e-01,5.232730367663423010e+01
5.831962357534162811e-01,5.232395738921523076e+01
5.844531241925400300e-01,5.232061311748491761e+01
5.857100126316637789e-01,5.231727085923837706e+01
5.869669010707875278e-01,5.231393061227421981e+01
5.882237895099112768e-01,5.231059237439455245e+01
5.894806779490350257e-01,5.230725614340498453e+01
5.907375663881587746e-01,5.230392191711461436e+01
5.919944548272825235e-01,5.230058969333602192e+01
5.932513432664061614e-01,5.229725946988526886e+01
5.945082317055299104e-01,5.229393124458188424e+01
5.957651201446536593e-01,5.229060501524885041e+01
5.970220085837774082e-01,5.228728077971260291e+01
5.982788970229011571e-01,5.228395853580304475e+01
5.995357854620249061e-01,5.228063828135349667e+01
6.007926739011486550e-01,5.227732001420071839e+01
6.020495623402724039e-01,5.227400373218490159e+01
6.033064507793961528e-01,5.227068943314964855e+01
6.045633392185199018e-01,5.226737711494197924e+01
6.058202276576436507e-01,5.226406677541231716e+01
6.070771160967673996e-01,5.226075841241446795e+01
6.083340045358911485e-01,5.225745202380564081e+01
6.095908929750148975e-01,5.225414760744641995e+01
6.108477814141386464e-01,5.225084516120077183e+01
6.121046698532623953e-01,5.224754468293602372e+01
6.133615582923861442e-01,5.224424617052287090e+01
6.146184467315097821e-01,5.224094962183536239e+01
6.158753351706335311e-01,5.223765503475089389e+01
6.171322236097572800e-01,5.223436240715019352e+01
6.183891120488810289e-01,5.223107173691732896e+01
6.196460004880047778e-01,5.222778302193969324e+01
6.209028889271285268e-01,5.222449626010799761e+01
6.221597773662522757e-01,5.222121144931627867e+01
6.234166658053760246e-01,5.221792858746185573e+01
6.246735542444997735e-01,5.221464767244535921e+01
6.259304426836235224e-01,5.221136870217070935e+01
6.271873311227472714e-01,5.220809167454511623e+01
6.284442195618710203e-01,5.220481658747906550e+01
6.297011080009947692e-01,5.220154343888630422e+01
6.309579964401185181e-01,5.219827222668386213e+01
6.322148848792422671e-01,5.219500294879201618e+01
6.334717733183659050e-01,5.219173560313428339e+01
6.347286617574896539e-01,5.218847018763744927e+01
6.359855501966134028e-01,5.218520670023152519e+01
6.372424386357371517e-01,5.218194513884974128e+01
6.384993270748609007e-01,5.217868550142856776e+01
6.397562155139846496e-01,5.217542778590769359e+01
6.410131039531083985e-01,5.217217199023000518e+01
6.422699923922321474e-01,5.216891811234160059e+01
6.435268808313558964e-01,5.216566615019178244e+01
6.447837692704796453e-01,5.216241610173303656e+01
6.460406577096033942e-01,5.215916796492103202e+01
6.472975461487271431e-01,5.215592173771461404e+01
6.485544345878508921e-01,5.215267741807580393e+01
6.498113230269746410e-01,5.214943500396979204e+01
6.510682114660983899e-01,5.214619449336491641e+01
6.523250999052221388e-01,5.214295588423267702e+01
6.535819883443458878e-01,5.213971917454771443e+01
6.548388767834695257e-01,5.213648436228780980e+01
6.560957652225932746e-01,5.213325144543386358e+01
6.573526536617170235e-01,5.213002042196992392e+01
6.586095421008407724e-01,5.212679128988314403e+01
6.598664305399645214e-01,5.212356404716380354e+01
6.611233189790882703e-01,5.212033869180527290e+01
6.623802074182120192e-01,5.211711522180403477e+01
6.636370958573357681e-01,5.211389363515964845e+01
6.648939842964595170e-01,5.211067392987478541e+01
6.661508727355832660e-01,5.210745610395517957e+01
6.674077611747070149e-01,5.210424015540965570e+01
6.686646496138307638e-01,5.210102608225009391e+01
6.699215380529545127e-01,5.209781388249144385e+01
6.711784264920782617e-01,5.209460355415170341e+01
6.724353149312020106e-01,5.209139509525194001e+01
6.736922033703256485e-01,5.208818850381624088e+01
6.749490918094493974e-01,5.208498377787174149e+01
6.762059802485731463e-01,5.208178091544861132e+01
6.774628686876968953e-01,5.207857991458004676e+01
6.787197571268206442e-01,5.207538077330225690e+01
6.799766455659443931e-01,5.207218348965447063e+01
6.812335340050681420e-01,5.206898806167891536e+01
6.824904224441918910e-01,5.206579448742081695e+01
6.837473108833156399e-01,5.206260276492841399e+01
6.850041993224393888e-01,5.205941289225292223e+01
6.862610877615631377e-01,5.205622486744853461e+01
6.875179762006868867e-01,5.205303868857242833e+01
6.887748646398106356e-01,5.204985435368475066e+01
6.900317530789343845e-01,5.204667186084861186e+01
6.912886415180581334e-01,5.204349120813008511e+01
6.925455299571818824e-01,5.204031239359818528e+01
6.938024183963056313e-01,5.203713541532488307e+01
6.950593068354292692e-01,5.203396027138509083e+01
6.963161952745530181e-01,5.203078695985664126e+01
6.975730837136767670e-01,5.202761547882030868e+01
6.988299721528005159e-01,5.202444582635979486e+01
7.000868605919242649e-01,5.202127800056170770e+01
7.013437490310480138e-01,5.201811199951556830e+01
7.026006374701717627e-01,5.201494782131381100e+01
7.038575259092955116e-01,5.201178546405175496e+01
7.051144143484192606e-01,5.200862492582762542e+01
7.063713027875430095e-01,5.200546620474252535e+01
7.076281912266667584e-01,5.200230929890044962e+01
7.088850796657905073e-01,5.199915420640826369e+01
7.101419681049142563e-01,5.199600092537570362e+01
7.113988565440380052e-01,5.199284945391537605e+01
7.126557449831617541e-01,5.198969979014273690e+01
7.139126334222853920e-01,5.198655193217609849e+01
7.151695218614091409e-01,5.198340587813662239e+01
7.164264103005328899e-01,5.198026162614831236e+01
7.176832987396566388e-01,5.197711917433800721e+01
7.189401871787803877e-01,5.197397852083536662e+01
7.201970756179041366e-01,5.197083966377289244e+01
7.214539640570278856e-01,5.196770260128590024e+01
7.227108524961516345e-01,5.196456733151250518e+01
7.239677409352753834e-01,5.196143385259364322e+01
7.252246293743991323e-01,5.195830216267305701e+01
7.264815178135228813e-01,5.195517225989726739e+01
7.277384062526466302e-01,5.195204414241560187e+01
7.289952946917703791e-01,5.194891780838016615e+01
