Rotation (degrees),Temperature (K),Black Body Temperature (K)
0.0,106.20096112599737,0.0
0.9045226130653267,106.0965319496738,0.0
1.8090452261306533,105.99308567095594,0.0
2.71356783919598,105.89068215971527,0.0
3.6180904522613067,105.789223644276,0.0
4.522613065326634,105.68877531641364,0.0
5.42713567839196,105.58923609193768,0.0
6.331658291457287,105.49067602461388,0.0
7.236180904522613,105.39299104006086,0.0
8.14070351758794,105.29625563205254,0.0
9.045226130653267,105.20036303206398,0.0
9.949748743718594,105.10539178624192,0.0
10.85427135678392,105.01123270409322,0.0
11.758793969849247,104.91796802765698,0.0
12.663316582914574,104.82548639492585,0.0
13.5678391959799,104.73387341565785,0.0
14.472361809045227,104.64301578699131,0.0
15.376884422110553,104.55300218399006,0.0
16.28140703517588,104.46371757553415,0.0
17.185929648241206,104.37525342305902,0.0
18.090452261306535,104.28749316327527,0.0
18.99497487437186,104.2005307864863,0.0
19.899497487437188,104.11424837821718,0.0
20.804020100502512,104.0287422197242,0.0
21.70854271356784,103.94389321249191,0.0
22.613065326633166,103.85979970874338,0.0
23.517587939698494,103.77634158037303,0.0
24.42211055276382,103.69361904701563,0.0
25.326633165829147,103.61151109376783,0.0
26.231155778894472,103.53011961919789,0.0
27.1356783919598,103.4493228536787,0.0
28.040201005025125,103.36922420008464,0.0
28.944723618090453,103.28970125627427,0.0
29.84924623115578,103.21085876753938,0.0
30.753768844221106,103.13257381234557,0.0
31.658291457286435,103.05495232824211,0.0
32.56281407035176,102.97787097904222,0.0
33.46733668341709,102.90143675520297,0.0
34.37185929648241,102.82552600288983,0.0
35.27638190954774,102.75024663609156,0.0
36.18090452261307,102.67547477318372,0.0
37.085427135678394,102.6013191315213,0.0
37.98994974874372,102.52765568493942,0.0
38.89447236180904,102.45459384250756,0.0
39.798994974874375,102.38200951065465,0.0
40.7035175879397,102.31001268638981,0.0
41.608040201005025,102.2384792802063,0.0
42.51256281407035,102.16751978057172,0.0
43.41708542713568,102.09701016826517,0.0
44.321608040201006,102.02706133349064,0.0
45.22613065326633,101.95754938866624,0.0
46.13065326633166,101.88858554227922,0.0
47.03517587939699,101.82004609522146,0.0
47.93969849246231,101.7520424966288,0.0
48.84422110552764,101.68445128850534,0.0
49.74874371859297,101.61738408840532,0.0
50.653266331658294,101.55071772818391,0.0
51.55778894472362,101.4845639266068,0.0
52.462311557788944,101.4187998504933,0.0
