Rotation (degrees),Temperature (K),Black Body Temperature (K)
0.0,57.86493634814629,0.0
0.9045226130653267,57.85002352194105,0.0
1.8090452261306533,57.83522847561656,0.0
2.71356783919598,57.820553194343766,0.0
3.6180904522613067,57.805992192416596,0.0
4.522613065326634,57.79154740573602,0.0
5.42713567839196,57.777213550470066,0.0
6.331658291457287,57.76299251502672,0.0
7.236180904522613,57.748879206858724,0.0
8.14070351758794,57.73487546857231,0.0
9.045226130653267,57.72097638903762,0.0
9.949748743718594,57.70718376666976,0.0
10.85427135678392,57.693492862550485,0.0
11.758793969849247,57.67990543243876,0.0
12.663316582914574,57.66641690102926,0.0
13.5678391959799,57.653028982888486,0.0
14.472361809045227,57.63973725828332,0.0
15.376884422110553,57.62654340198437,0.0
16.28140703517588,57.6134431423035,0.0
17.185929648241206,57.60043811554879,0.0
18.090452261306535,57.58752419102306,0.0
18.99497487437186,57.57470296784556,0.0
19.899497487437188,57.56197044969281,0.0
20.804020100502512,57.54932819971262,0.0
21.70854271356784,57.536772349741426,0.0
22.613065326633166,57.52430442811983,0.0
23.517587939698494,57.5119206890037,0.0
24.42211055276382,57.49962262704041,0.0
25.326633165829147,57.48740661321061,0.0
26.231155778894472,57.475274109534816,0.0
27.1356783919598,57.46322159864442,0.0
28.040201005025125,57.45125051095449,0.0
28.944723618090453,57.43935743587082,0.0
29.84924623115578,57.42754377318183,0.0
30.753768844221106,57.41580621446803,0.0
31.658291457286435,57.40414612982951,0.0
32.56281407035176,57.392560308679236,0.0
33.46733668341709,57.38105009232907,0.0
34.37185929648241,57.36961236392181,0.0
35.27638190954774,57.35824843684481,0.0
36.18090452261307,57.34695528409162,0.0
37.085427135678394,57.33573419195424,0.0
37.98994974874372,57.32458221960644,0.0
38.89447236180904,57.31350062704126,0.0
39.798994974874375,57.30248655613691,0.0
40.7035175879397,57.29154124135266,0.0
41.608040201005025,57.2806619039775,0.0
42.51256281407035,57.269849753672496,0.0
43.41708542713568,57.25910208801414,0.0
44.321608040201006,57.2484200925726,0.0
45.22613065326633,57.2378011382482,0.0
46.13065326633166,57.227246387200715,0.0
47.03517587939699,57.2167532808401,0.0
47.93969849246231,57.206322958570645,0.0
48.84422110552764,57.19595292963816,0.0
49.74874371859297,57.1856443113219,0.0
50.653266331658294,57.175394678161446,0.0
51.55778894472362,57.16520512591828,0.0
52.462311557788944,57.15507329200739,0.0
53.366834170854275,57.145000251257585,0.0
54.2713567839196,57.13498370165729,0.0
55.175879396984925,57.12502469766654,0.0
56.08040201005025,57.11512099565472,0.0
56.98492462311558,57.10527363025676,0.0
57.88944723618091,57.09548041413366,0.0
58.79396984924623,57.085742362619676,0.0
59.69849246231156,57.07605734267516,0.0
60.60301507537689,57.06642635083962,0.0
61.50753768844221,57.05684730647219,0.0
62.41206030150754,57.04732118780595,0.0
63.31658291457287,57.03784596478465,0.0
64.22110552763819,57.02842259780634,0.0
65.12562814070353,57.0190491056669,0.0
66.03015075376885,57.00972643138462,0.0
66.93467336683418,57.000452640952055,0.0
67.8391959798995,56.99122866044762,0.0
68.74371859296483,56.982052601478024,0.0
69.64824120603015,56.972925373606834,0.0
70.55276381909547,56.96384513254136,0.0
71.4572864321608,56.95481277174118,0.0
72.36180904522614,56.945826489565924,0.0
73.26633165829146,56.9368871637685,0.0
74.17085427135679,56.92799303397436,0.0
75.07537688442211,56.91914496261403,0.0
75.97989949748744,56.91034122925089,0.0
76.88442211055276,56.90158268136486,0.0
77.78894472361809,56.89286763718492,0.0
78.69346733668343,56.884196929600186,0.0
79.59798994974875,56.87556891428558,0.0
80.50251256281408,56.86698440988774,0.0
81.4070351758794,56.85844180835788,0.0
82.31155778894473,56.84994191443744,0.0
83.21608040201005,56.84148315523176,0.0
84.12060301507537,56.83306632190378,0.0
85.0251256281407,56.824689875635954,0.0
85.92964824120604,56.816354594329226,0.0
86.83417085427136,56.80805897220903,0.0
