Phase Angle (degrees),Brightness Value
0.0,2.0288101856763302e-05
1.0,2.0286132393967864e-05
2.0,2.0278140889487097e-05
3.0,2.026427283330679e-05
4.0,2.0244446598705477e-05
5.0,2.0218688963320085e-05
6.0,2.0187017624129554e-05
7.0,2.0149578036633054e-05
8.0,2.0106340231448555e-05
9.0,2.0057414573535208e-05
10.0,2.000270008456336e-05
11.0,1.9942387727067622e-05
12.0,1.987673685295411e-05
13.0,1.980567238066136e-05
14.0,1.9729009277457973e-05
15.0,1.9647436334831456e-05
16.0,1.956097177280048e-05
17.0,1.9469494721146044e-05
18.0,1.9372654573228828e-05
19.0,1.9271097985255515e-05
20.0,1.9165645426673496e-05
21.0,1.90555136233365e-05
22.0,1.894088121774135e-05
23.0,1.8822205474657177e-05
24.0,1.8698828323340046e-05
25.0,1.8570747998186285e-05
26.0,1.8437904157186157e-05
27.0,1.8300547578651775e-05
28.0,1.815980755771202e-05
29.0,1.8015056717029744e-05
30.0,1.7866642155041962e-05
31.0,1.7714704021038942e-05
32.0,1.7558758595243954e-05
33.0,1.7399792614431524e-05
34.0,1.7236765942613055e-05
35.0,1.7070073512129853e-05
36.0,1.6899690802553786e-05
37.0,1.67270098692948e-05
38.0,1.655167612921963e-05
39.0,1.6373166682450737e-05
40.0,1.619107905592555e-05
41.0,1.6006494352866035e-05
42.0,1.5819397925327806e-05
43.0,1.5629111623746466e-05
44.0,1.5437331261198876e-05
45.0,1.5243558209856613e-05
46.0,1.5047528984547135e-05
47.0,1.4849329888347743e-05
48.0,1.4650603247183851e-05
49.0,1.4451473167104742e-05
50.0,1.4250888842337533e-05
51.0,1.404868513030682e-05
52.0,1.3844707123223611e-05
53.0,1.3639011645084229e-05
54.0,1.3431894390768421e-05
55.0,1.322235326847938e-05
56.0,1.3010589584065902e-05
57.0,1.2798791048280486e-05
58.0,1.2585580736347504e-05
59.0,1.2371025934276591e-05
60.0,1.2155983830058894e-05
61.0,1.1939654886851395e-05
62.0,1.1722019632894605e-05
63.0,1.150248773292352e-05
64.0,1.128226956356659e-05
65.0,1.106127498497408e-05
66.0,1.0840094835796915e-05
67.0,1.0620022810332368e-05
68.0,1.0401729146143448e-05
69.0,1.0184270248415483e-05
70.0,9.966765470839219e-06
71.0,9.75120808573742e-06
72.0,9.53573940498547e-06
73.0,9.323247948517517e-06
74.0,9.111540579517727e-06
75.0,8.904384894167897e-06
76.0,8.698201130215802e-06
77.0,8.491718545995416e-06
78.0,8.288111575984386e-06
79.0,8.085356821158368e-06
80.0,7.885372138419921e-06
81.0,7.687885468769746e-06
82.0,7.492373847575481e-06
83.0,7.298161756649201e-06
84.0,7.1056096452733235e-06
85.0,6.913599148339419e-06
86.0,6.722106474167716e-06
87.0,6.534121114521899e-06
88.0,6.348738145191572e-06
89.0,6.166088346623571e-06
90.0,5.9856646327538015e-06
91.0,5.8061906922941865e-06
92.0,5.6272106198726665e-06
93.0,5.448564073675144e-06
94.0,5.272010241778455e-06
95.0,5.096691012162577e-06
96.0,4.922971443035121e-06
97.0,4.7531539114606824e-06
98.0,4.5875273903578055e-06
99.0,4.425340152105024e-06
100.0,4.265540523629214e-06
101.0,4.1097354005005544e-06
102.0,3.9576146792630796e-06
103.0,3.8106735801125665e-06
104.0,3.6680364822766666e-06
105.0,3.529221132310613e-06
106.0,3.392558207660047e-06
107.0,3.2581565359169767e-06
108.0,3.1260809789980626e-06
109.0,2.9971043055252086e-06
110.0,2.874596762009469e-06
111.0,2.7569482103988746e-06
112.0,2.643061443795987e-06
113.0,2.5327567414953133e-06
114.0,2.4234474340995436e-06
115.0,2.316113792094728e-06
116.0,2.2132700410075743e-06
117.0,2.1154424402086893e-06
118.0,2.0232491373477123e-06
119.0,1.934139109598614e-06
120.0,1.8464503604856728e-06
121.0,1.762189286160027e-06
122.0,1.6810289940109494e-06
123.0,1.6005564296792334e-06
124.0,1.5225065219289566e-06
125.0,1.4471688888141379e-06
126.0,1.3735725325389732e-06
127.0,1.3054241420378178e-06
128.0,1.240490174592146e-06
129.0,1.177074067525521e-06
130.0,1.1170498859113927e-06
131.0,1.0587148113379744e-06
132.0,1.0018535408030344e-06
133.0,9.485578588276635e-07
134.0,8.968670862171576e-07
135.0,8.461080567251152e-07
136.0,7.983543497042571e-07
137.0,7.52257347460015e-07
138.0,7.07407537577632e-07
139.0,6.639268271779843e-07
140.0,6.213448494158959e-07
141.0,5.803181623063448e-07
142.0,5.409723472479188e-07
143.0,5.033861513727953e-07
144.0,4.6862592998278727e-07
145.0,4.363543735888256e-07
146.0,4.0633879918428664e-07
147.0,3.807238816339411e-07
148.0,3.579283888406488e-07
149.0,3.369775544082748e-07
150.0,3.1799279510451966e-07
151.0,3.0045694577996484e-07
152.0,2.839541427151514e-07
153.0,2.6799984408884373e-07
154.0,2.534902526798702e-07
155.0,2.3975995441215767e-07
156.0,2.2789610853751074e-07
157.0,2.1713947895539912e-07
158.0,2.0735062834058074e-07
159.0,1.9856308732569547e-07
160.0,1.9072268939395115e-07
161.0,1.8343728427785119e-07
162.0,1.7685600666521995e-07
163.0,1.7110773465975112e-07
164.0,1.6577112738448826e-07
165.0,1.609318489927957e-07
166.0,1.5668950012167387e-07
167.0,1.529999000612963e-07
168.0,1.4957588328775328e-07
169.0,1.4657497719018645e-07
170.0,1.4421904081046562e-07
171.0,1.422785662742446e-07
172.0,1.4072485589858588e-07
173.0,1.39460777283579e-07
174.0,1.3832818667672713e-07
175.0,1.3744497519801673e-07
176.0,1.367802711453152e-07
177.0,1.3634471434338397e-07
178.0,1.360740146008944e-07
179.0,1.3591012901616438e-07
180.0,1.357705080023429e-07
