mean_temperature,temperature_iqr,execution_time,density,thermal_conductivity,specific_heat_capacity
259.0272560904558,109.01367493426383,2.968245029449463,200.0,0.1,500.0
270.92070573668155,59.43931955040924,2.3695828914642334,200.0,0.1,1500.0
273.7916627397038,41.758651634354266,1.9715840816497803,200.0,0.1,2500.0
259.0272560904558,109.01367493426383,2.767075777053833,200.0,0.55,500.0
270.92070573668155,59.43931955040924,2.363306999206543,200.0,0.55,1500.0
273.7916627397038,41.758651634354266,1.9817571640014648,200.0,0.55,2500.0
259.0272560904558,109.01367493426383,2.781047821044922,200.0,1.0,500.0
270.92070573668155,59.43931955040924,2.3641908168792725,200.0,1.0,1500.0
273.7916627397038,41.758651634354266,1.993718147277832,200.0,1.0,2500.0
267.34826433741335,79.21510726940608,2.756742238998413,400.0,0.1,500.0
274.41337737385936,36.21934929784527,1.985429048538208,400.0,0.1,1500.0
275.42589768797524,31.52438650349768,1.972111701965332,400.0,0.1,2500.0
267.34826433741335,79.21510726940608,2.902324914932251,400.0,0.55,500.0
274.41337737385936,36.21934929784527,2.000838041305542,400.0,0.55,1500.0
275.42589768797524,31.52438650349768,1.9730489253997803,400.0,0.55,2500.0
267.34826433741335,79.21510726940608,2.7591328620910645,400.0,1.0,500.0
274.41337737385936,36.21934929784527,1.9695539474487305,400.0,1.0,1500.0
275.42589768797524,31.52438650349768,1.9827618598937988,400.0,1.0,2500.0
270.92070573668155,59.439319550409266,2.789533853530884,600.0,0.1,500.0
275.28563071679116,31.882336093351512,2.0788638591766357,600.0,0.1,1500.0
275.7571045084936,22.979294520579117,2.2530879974365234,600.0,0.1,2500.0
270.92070573668155,59.439319550409266,2.4274630546569824,600.0,0.55,500.0
275.28563071679116,31.882336093351512,1.9766018390655518,600.0,0.55,1500.0
275.7571045084936,22.979294520579117,1.9835610389709473,600.0,0.55,2500.0
270.92070573668155,59.439319550409266,2.384596109390259,600.0,1.0,500.0
275.28563071679116,31.882336093351512,2.0773301124572754,600.0,1.0,1500.0
275.7571045084936,22.979294520579117,2.0611751079559326,600.0,1.0,2500.0
272.710970854719,47.0831659784142,2.504835844039917,800.0,0.1,500.0
275.60937270705983,27.015783816483292,2.01353120803833,800.0,0.1,1500.0
275.87374791839585,22.646503835423744,1.5829179286956787,800.0,0.1,2500.0
272.710970854719,47.0831659784142,3.0260772705078125,800.0,0.55,500.0
275.60937270705983,27.015783816483292,2.0435919761657715,800.0,0.55,1500.0
275.87374791839585,22.646503835423744,1.583711862564087,800.0,0.55,2500.0
272.710970854719,47.0831659784142,2.5672130584716797,800.0,1.0,500.0
275.60937270705983,27.015783816483292,2.0139589309692383,800.0,1.0,1500.0
275.87374791839585,22.646503835423744,1.6133770942687988,800.0,1.0,2500.0
