Time of Day (radians), Surface Temperature (K)
   0.33301,  52.77662
   0.33427,  52.77293
   0.33552,  52.76925
   0.33678,  52.76556
   0.33804,  52.76188
   0.33929,  52.75821
   0.34055,  52.75453
   0.34181,  52.75086
   0.34306,  52.74719
   0.34432,  52.74352
   0.34558,  52.73986
   0.34683,  52.73619
   0.34809,  52.73253
   0.34935,  52.72888
   0.35060,  52.72522
   0.35186,  52.72157
   0.35312,  52.71792
   0.35437,  52.71427
   0.35563,  52.71062
   0.35688,  52.70698
   0.35814,  52.70334
   0.35940,  52.69970
   0.36065,  52.69606
   0.36191,  52.69243
   0.36317,  52.68880
   0.36442,  52.68517
   0.36568,  52.68154
   0.36694,  52.67792
   0.36819,  52.67429
   0.36945,  52.67067
   0.37071,  52.66706
   0.37196,  52.66344
   0.37322,  52.65983
   0.37448,  52.65622
   0.37573,  52.65261
   0.37699,  52.64900
   0.37825,  52.64540
   0.37950,  52.64180
   0.38076,  52.63820
   0.38202,  52.63460
   0.38327,  52.63101
   0.38453,  52.62742
   0.38579,  52.62383
   0.38704,  52.62024
   0.38830,  52.61665
   0.38956,  52.61307
   0.39081,  52.60949
   0.39207,  52.60591
   0.39333,  52.60234
   0.39458,  52.59876
   0.39584,  52.59519
   0.39710,  52.59162
   0.39835,  52.58806
   0.39961,  52.58449
   0.40087,  52.58093
   0.40212,  52.57737
   0.40338,  52.57381
   0.40464,  52.57026
   0.40589,  52.56670
   0.40715,  52.56315
   0.40841,  52.55960
   0.40966,  52.55606
   0.41092,  52.55251
   0.41218,  52.54897
   0.41343,  52.54543
   0.41469,  52.54190
   0.41595,  52.53836
   0.41720,  52.53483
   0.41846,  52.53130
   0.41972,  52.52777
   0.42097,  52.52424
   0.42223,  52.52072
   0.42349,  52.51720
   0.42474,  52.51368
   0.42600,  52.51016
   0.42726,  52.50665
   0.42851,  52.50314
   0.42977,  52.49963
   0.43103,  52.49612
   0.43228,  52.49261
   0.43354,  52.48911
   0.43480,  52.48561
   0.43605,  52.48211
   0.43731,  52.47861
   0.43857,  52.47512
   0.43982,  52.47162
   0.44108,  52.46813
   0.44234,  52.46464
   0.44359,  52.46116
   0.44485,  52.45767
   0.44611,  52.45419
   0.44736,  52.45071
   0.44862,  52.44724
   0.44988,  52.44376
   0.45113,  52.44029
   0.45239,  52.43682
   0.45365,  52.43335
   0.45490,  52.42988
   0.45616,  52.42642
   0.45742,  52.42296
   0.45867,  52.41950
   0.45993,  52.41604
   0.46119,  52.41258
   0.46244,  52.40913
   0.46370,  52.40568
   0.46496,  52.40223
   0.46621,  52.39878
   0.46747,  52.39534
   0.46873,  52.39189
   0.46998,  52.38845
   0.47124,  52.38502
   0.47250,  52.38158
   0.47375,  52.37815
   0.47501,  52.37471
   0.47627,  52.37128
   0.47752,  52.36786
   0.47878,  52.36443
   0.48004,  52.36101
   0.48129,  52.35759
   0.48255,  52.35417
   0.48381,  52.35075
   0.48506,  52.34733
   0.48632,  52.34392
   0.48758,  52.34051
   0.48883,  52.33710
   0.49009,  52.33370
   0.49135,  52.33029
   0.49260,  52.32689
   0.49386,  52.32349
   0.49512,  52.32009
   0.49637,  52.31669
   0.49763,  52.31330
   0.49888,  52.30991
   0.50014,  52.30652
   0.50140,  52.30313
