Phase Angle (degrees),Brightness Value
119.0,1.9589386925167605e-10
120.0,1.8654766080755478e-10
121.0,1.77323133413435e-10
122.0,1.685289018423028e-10
123.0,1.6019621940753754e-10
124.0,1.5211914703467365e-10
125.0,1.4449693443995823e-10
126.0,1.3715132573491637e-10
127.0,1.2999027014856543e-10
128.0,1.2293165195918311e-10
129.0,1.1607666484341018e-10
130.0,1.0946339148620283e-10
131.0,1.0310463469573988e-10
132.0,9.733761115310419e-11
133.0,9.197802469263378e-11
134.0,8.671997803712885e-11
135.0,8.171118407797815e-11
136.0,7.689813091016863e-11
137.0,7.233272180796341e-11
138.0,6.794004943353854e-11
139.0,6.370533758458708e-11
140.0,5.958326837515658e-11
141.0,5.5676609477196536e-11
142.0,5.201521653661939e-11
143.0,4.8508864599787524e-11
144.0,4.5233660267858855e-11
145.0,4.213850891938443e-11
146.0,3.929345337181654e-11
147.0,3.664512362798954e-11
148.0,3.417108294313697e-11
149.0,3.181410925359407e-11
150.0,2.9605601441104933e-11
151.0,2.7618472261909232e-11
152.0,2.5704600792852654e-11
153.0,2.3914372680475648e-11
154.0,2.2223749616372794e-11
155.0,2.0622137363200252e-11
156.0,1.919993477771182e-11
157.0,1.7928976333909394e-11
158.0,1.675041913071064e-11
159.0,1.5633850673130077e-11
160.0,1.460711408559593e-11
161.0,1.3716347499401107e-11
162.0,1.2927942139188932e-11
163.0,1.2252954616687887e-11
164.0,1.1669351517742196e-11
165.0,1.1131392930835774e-11
166.0,1.0643502636645002e-11
167.0,1.0215367371847574e-11
168.0,9.836286200099532e-12
169.0,9.49714420032756e-12
170.0,9.21892927358576e-12
171.0,9.012840465300639e-12
172.0,8.865920754619093e-12
173.0,8.746408946925646e-12
174.0,8.662193478301046e-12
175.0,8.602141320479295e-12
176.0,8.563884601022291e-12
177.0,8.548639969031683e-12
178.0,8.549503791207088e-12
179.0,8.56974157075964e-12
180.0,8.602167109577942e-12
