Phase Angle (degrees),Brightness Value
0.0,1.9249924145131754e-09
1.0,1.925420338146136e-09
2.0,1.925271194031074e-09
3.0,1.924553491361027e-09
4.0,1.9232729613095382e-09
5.0,1.9214353859208757e-09
6.0,1.9190343537754693e-09
7.0,1.9160799764869343e-09
8.0,1.9125765717702635e-09
9.0,1.9085191814158267e-09
10.0,1.9039280795644846e-09
11.0,1.8988022754482992e-09
12.0,1.893173383368624e-09
13.0,1.887017916425472e-09
14.0,1.8803932325018087e-09
15.0,1.8733000786181696e-09
16.0,1.8656884515650418e-09
17.0,1.8575420167720791e-09
18.0,1.8488980254501625e-09
19.0,1.8398248825107353e-09
20.0,1.8303088340078195e-09
21.0,1.8203825893426156e-09
22.0,1.8100133194128601e-09
23.0,1.7992120820523848e-09
24.0,1.7879121777883116e-09
25.0,1.7761229695453431e-09
26.0,1.7638757512617557e-09
27.0,1.75127113051681e-09
28.0,1.7382886787857215e-09
29.0,1.7249043856154301e-09
30.0,1.7110635585186643e-09
31.0,1.6968429465959433e-09
32.0,1.6824275965226039e-09
33.0,1.667653132343118e-09
34.0,1.6524855222006804e-09
35.0,1.63701191174657e-09
36.0,1.621173770733467e-09
37.0,1.6049779685006127e-09
38.0,1.5886418385145986e-09
39.0,1.5720301923073777e-09
40.0,1.5551965492352652e-09
41.0,1.5380768059332087e-09
42.0,1.5207429599362382e-09
43.0,1.5032018912384514e-09
44.0,1.485433739499055e-09
45.0,1.467453034237454e-09
46.0,1.4492339704788074e-09
47.0,1.4307588948893028e-09
48.0,1.412103049000696e-09
49.0,1.3933523656706359e-09
50.0,1.3745540660647642e-09
51.0,1.3556128356136067e-09
52.0,1.336550220535005e-09
53.0,1.3176771274183521e-09
54.0,1.298619949489403e-09
55.0,1.2794962049959933e-09
56.0,1.2602372867905615e-09
57.0,1.2410100152986077e-09
58.0,1.221868576024812e-09
59.0,1.2026570348878639e-09
60.0,1.1834078990985807e-09
61.0,1.1640336702092093e-09
62.0,1.144504573595891e-09
63.0,1.1249603912492717e-09
64.0,1.1054240381221398e-09
65.0,1.0858847264262255e-09
66.0,1.0663468909831192e-09
67.0,1.0467432536839519e-09
68.0,1.0271279843793688e-09
69.0,1.0074685483839463e-09
70.0,9.878975140344609e-10
71.0,9.682787790331156e-10
72.0,9.486086843322747e-10
73.0,9.289656537589896e-10
74.0,9.094197624818754e-10
75.0,8.898553234627909e-10
76.0,8.704790272495426e-10
77.0,8.513651977897438e-10
78.0,8.323934546318046e-10
79.0,8.134091621671116e-10
80.0,7.943718424992476e-10
81.0,7.75450257629143e-10
82.0,7.566647407920174e-10
83.0,7.378725079611724e-10
84.0,7.191611828414453e-10
85.0,7.004544403345729e-10
86.0,6.818832779389202e-10
87.0,6.634743635124922e-10
88.0,6.451486837929874e-10
89.0,6.271154642548821e-10
90.0,6.091067562556422e-10
91.0,5.911543315203887e-10
92.0,5.734206099113251e-10
93.0,5.557982385806411e-10
94.0,5.386825394129804e-10
95.0,5.220826334213067e-10
96.0,5.057032783485718e-10
97.0,4.897186366511181e-10
98.0,4.738492995679725e-10
99.0,4.5802142494811714e-10
100.0,4.423933212562918e-10
101.0,4.269849898918337e-10
102.0,4.116713147161042e-10
103.0,3.965889461993647e-10
104.0,3.8170080810128836e-10
105.0,3.6703598405963384e-10
106.0,3.527233248857156e-10
107.0,3.386744420271944e-10
108.0,3.2512269772479686e-10
109.0,3.1197434868711336e-10
110.0,2.9904402378773897e-10
111.0,2.8634389926330583e-10
112.0,2.738817857257868e-10
113.0,2.615855575230963e-10
114.0,2.496857589823856e-10
115.0,2.3808961633884424e-10
116.0,2.2689790230900955e-10
117.0,2.1591280859057984e-10
118.0,2.056177010771302e-10
