Phase Angle (degrees),Brightness Value
71.0,1.0793125979817129e-09
72.0,1.054708646168576e-09
73.0,1.0304485232116467e-09
74.0,1.0061125412094453e-09
75.0,9.821144012221533e-10
76.0,9.583066340522712e-10
77.0,9.344638693081808e-10
78.0,9.106396136345674e-10
79.0,8.867445188412399e-10
80.0,8.631342140056428e-10
81.0,8.397521715894906e-10
82.0,8.165170580628902e-10
83.0,7.932757536550281e-10
84.0,7.698497284968087e-10
85.0,7.469479754321533e-10
86.0,7.249127790500999e-10
87.0,7.038086812829317e-10
88.0,6.825444016814461e-10
89.0,6.611905312193762e-10
90.0,6.400246131946782e-10
91.0,6.192955706756522e-10
92.0,5.992002217473861e-10
93.0,5.795518161081757e-10
94.0,5.602942445470822e-10
95.0,5.415178814152743e-10
96.0,5.234952105738858e-10
97.0,5.059653205403025e-10
98.0,4.886876235958583e-10
99.0,4.722411966340903e-10
100.0,4.5632842943409767e-10
101.0,4.4052302574967676e-10
102.0,4.2486090827970115e-10
103.0,4.096058109065789e-10
104.0,3.954425864652429e-10
105.0,3.8123536270017733e-10
106.0,3.6701402624546734e-10
107.0,3.527829539427217e-10
108.0,3.3851605506331637e-10
109.0,3.2445356097443514e-10
110.0,3.109087823220585e-10
111.0,2.975114741806488e-10
112.0,2.8414349222496173e-10
113.0,2.7127360244718576e-10
114.0,2.5918157812112116e-10
115.0,2.4727035977944564e-10
116.0,2.357382933822006e-10
117.0,2.247690905999951e-10
118.0,2.140048839175755e-10
119.0,2.0324088055247577e-10
120.0,1.931579531881251e-10
121.0,1.8368912104905374e-10
122.0,1.7443637830188614e-10
123.0,1.6559234169096037e-10
124.0,1.5717107354641344e-10
125.0,1.4959360247110027e-10
126.0,1.428573265206546e-10
127.0,1.3676327156476858e-10
128.0,1.3104048408419573e-10
129.0,1.2551662533535004e-10
130.0,1.2002607834608818e-10
131.0,1.1464836369656888e-10
132.0,1.0927759789460817e-10
133.0,1.0419329126022562e-10
134.0,9.923397527530312e-11
135.0,9.438356859832975e-11
136.0,8.976028519983129e-11
137.0,8.568347995189346e-11
138.0,8.17481019279153e-11
139.0,7.779417995965842e-11
140.0,7.385356292051144e-11
141.0,6.997822720403948e-11
142.0,6.624284836071136e-11
143.0,6.282029229386662e-11
144.0,5.968492526688493e-11
145.0,5.6701507119682106e-11
146.0,5.378293765591325e-11
147.0,5.0901564622974035e-11
148.0,4.826612605633034e-11
149.0,4.615424911960971e-11
150.0,4.428519108870381e-11
151.0,4.250037125181077e-11
152.0,4.097929046047885e-11
153.0,3.967664197699996e-11
154.0,3.8394412124841804e-11
155.0,3.714983310771965e-11
156.0,3.5957964481023865e-11
157.0,3.4858656354823656e-11
158.0,3.386631674956144e-11
159.0,3.317091199843875e-11
160.0,3.268196517556872e-11
161.0,3.2290114663434957e-11
162.0,3.1926287054510364e-11
163.0,3.156151537900553e-11
164.0,3.11877654798802e-11
165.0,3.0805256598104874e-11
166.0,3.0422232772867674e-11
167.0,3.009973773900436e-11
168.0,2.979837608899145e-11
169.0,2.9513807269140794e-11
170.0,2.925360723063699e-11
171.0,2.9017989777497353e-11
172.0,2.879709962564972e-11
173.0,2.859564131260142e-11
174.0,2.8406814740504875e-11
175.0,2.821911362509946e-11
176.0,2.8054690266583518e-11
177.0,2.790753350970308e-11
178.0,2.776714729525913e-11
179.0,2.76598715376257e-11
180.0,2.7562727830409296e-11
